Alimentos,unidad,Proteinas(gr),Carbohidratos(gr),Grasas(gr),Calorias(kcal),Volumen,Costo,Inventario inicial,Dias en el que vence,Cantidad de paquetes,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
aceite vegetal,921,0,0,921,8141.64,0.002430,1170,0,16,365,157,89,90,62,70,156,67,168,49,147,172,26,171,178
arroz blanco ,1000,26.6,279,2.8,1290,0.001250,880,0,16,168,25,0,59,84,18,58,22,0,79,22,66,61,53,1
atun/jurel natural,160,40.816,0,1.312,185.6,0.000199,890,0,16,1972,559,980,47,859,705,787,662,574,938,602,427,760,601,826
azucar,1000,0,999.8,0,3870,0.000945,660,0,16,336,49,40,126,164,78,68,96,146,119,74,106,85,164,56
Cafe,170,34,82,0.34,468,0.002100,1790,0,16,495,185,49,190,16,51,80,92,181,82,12,32,68,245,31
cereales,350,72.4,830.2,33.8,3760,0.002864,1297,0,16,601,257,58,89,6,156,233,291,217,243,115,30,172,195,124
Crema,236,5.9,8.496,59,587.64,0.002100,1239,0,16,593,149,84,152,128,274,295,30,248,18,195,280,251,166,109
durazno en conserva,580,2.32,64.38,0.58,243.6,0.000624,1030,0,16,1541,320,507,307,702,716,288,484,56,144,375,101,380,724,576
fideos,400,45.1,250.1,20.6,1370,0.000397,540,0,16,526,140,5,201,121,207,238,203,90,1,254,81,90,66,172
galletas,140,5.6,98.7,28.2,671,0.00195,609,0,16,7511,265,1225,1466,425,97,3400,1157,946,1754,1858,3304,1025,1429,1723
garbanzos,1000,95.4,299.8,29.9,1800,0.003125,1669,0,16,168,80,33,3,41,30,34,61,48,74,4,68,71,82,14
harina,1000,103.3,763.1,9.8,3640,0.000600,660,0,16,505,202,163,0,76,31,186,51,146,229,189,202,134,142,90
Jugo en polvo,7,0,7,0,43.42857143,0.002850,220,0,16,45064,19103,4802,505,9547,12412,11436,8934,3987,19514,17690,8209,9195,20309,1560
leche en polvo,800,260,384,270,4960,0.000397,3190,0,16,1314,654,603,416,393,386,205,199,185,391,335,17,183,332,617
lentejas,1000,258,600.8,1.06,353,0.003125,1790,0,16,168,55,71,67,10,70,83,57,29,48,74,72,72,50,0
porotos,1000,224.7,614.1,14.5,3400,0.003125,1950,0,16,168,72,19,24,74,19,35,5,78,9,30,71,26,59,68
proteina de soja,300,135,57,3.3,798,0.002250,1799,0,0,1051,323,456,160,129,279,497,383,508,228,374,62,339,101,3
pure instantaneo,250,19,187.5,2.75,850,0.002250,1350,0,16,672,231,258,20,81,77,109,199,316,237,334,153,152,199,113
sal,1000,0,0,0,0,0.000945,369,0,16,336,158,30,115,158,80,18,146,34,130,144,24,54,91,11
salsa de tomate,200,3.48,50.16,0.76,194,0.000208,294,0,16,2103,653,840,554,267,240,262,215,661,979,803,563,875,361,318
sopas instantaneas,70,6.93,46.55,3.01,241.5,0.000050,619,0,16,6009,1472,2471,1617,2298,2403,2420,278,1105,410,1837,2668,1432,1010,141
te,20 bolsitas,0.4,15.2,0,40,0.000428,298,0,16,2103,724,328,62,863,814,297,767,441,510,33,481,740,55,366
Tomates_1,500,4.5,13.5,1,90,0.002850,695,0,4,1788,2599,0,0,0,1257,0,0,0,0,0,0,0,0,0
Tomates_2,500,4.5,13.5,1,90,0.002850,695,0,14,1788,0,0,0,0,0,0,0,0,0,2234,0,0,0,0
yoghurt_1,110,27.9,101.7,15.3,657,0.002850,1649,0,5,13383,0,0,5640,0,0,0,0,0,0,0,0,0,0,0
yoghurt_2,110,27.9,101.7,15.3,657,0.002850,1649,0,11,13383,0,0,0,0,0,0,0,0,5916,0,0,0,0,0
Lechuga_1,300,4.05,6.69,0.66,39,0.002850,1250,0,7,2979,0,0,0,0,1455,0,0,0,0,0,0,0,0,0
Lechuga_2,300,4.05,6.69,0.66,39,0.002850,1250,0,13,2979,0,0,0,0,0,0,0,0,0,0,1408,0,0,0
manzana_1,500,1.5,57,1,260,0.002850,995,0,3,1788,1963,0,0,0,0,0,0,0,0,0,0,0,0,0
manzana_2,500,1.5,57,1,260,0.002850,995,0,8,1788,0,0,0,0,0,2286,0,0,0,0,0,0,0,0
manzana_3,500,1.5,57,1,260,0.002850,995,0,12,1788,0,0,0,0,0,0,0,0,0,2120,0,0,0,0
Margarina_1,500,0,0,400,3600,0.00625,1489,0,11,560,0,0,0,141,0,0,0,0,0,0,0,0,0,0
Margarina_2,500,0,0,400,3600,0.00625,1489,0,15,560,0,0,0,0,0,0,0,0,0,0,0,0,819,0
Queso_1,250,115,0,140,1720,0.000945,4449,0,11,280,0,0,0,0,0,0,0,271,0,0,0,0,0,0
Queso_2,250,115,0,140,1720,0.000945,4449,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,345
